"character" "dialogue"
"1" "LUKE" "Echo Three to Echo Seven. Han, old buddy, do you  read me?"
"2" "HAN" "Loud and clear, kid. What's up?"
"3" "LUKE" "Well, I finished my circle. I don't pick up any  life readings."
"4" "HAN" "There isn't enough life on this ice cube to fill a  space cruiser. The sensors are placed. I'm going back."
"5" "LUKE" "Right. I'll see you shortly. There's a meteorite  that hit the ground near here. I want to check it out. It won't take long."
"6" "LUKE" "Hey, steady girl. What's the matter? You smell something?"
"7" "LUKE" "Aaargh!"
"8" "HAN" "Chewie!"
"9" "HAN" "All right, don't lose your temper. I'll come right back and give  you a hand."
"10" "RIEEKAN" "Solo?"
"11" "HAN" "No sign of life out there, General. The sensors are in place.  You'll know if anything comes around."
"12" "RIEEKAN" "Commander Skywalker reported in yet?"
"13" "HAN" "No. He's checking out a meteorite that hit near him."
"14" "RIEEKAN" "With all the meteor activity in this  system, it's going to be difficult to spot approaching ships."
"15" "HAN" "General, I've got to leave. I can't stay anymore."
"16" "RIEEKAN" "I'm sorry to hear that."
"17" "HAN" "Well, there's a price on my head. If I don't pay off Jabba the  Hut, I'm a dead man."
"18" "RIEEKAN" "A death mark's not an easy thing to live with. You're a good  fighter, Solo. I hate to lose you."
"19" "HAN" "Thank you, General."
"20" "HAN" "Well, Your Highness, I guess this is it."
"21" "LEIA" "That's right."
"22" "HAN" "Well, don't get all mushy on me. So long, Princess."
"23" "LEIA" "Han!"
"24" "HAN" "Yes, Your Highnessness?"
"25" "LEIA" "I thought you decided to stay."
"26" "HAN" "Well, the bounty hunter we ran into on Ord Mantell changed my  mind."
"27" "LEIA" "Han, we need you!"
"28" "HAN" "We?"
"29" "LEIA" "Yes."
"30" "HAN" "Oh, what about you need?"
"31" "LEIA" "I need? I don't know what you're talking about."
"32" "HAN" "You probably don't."
"33" "LEIA" "And what precisely am I supposed to know?"
"34" "HAN" "Come on! You want me to stay because of the way you feel about  me."
"35" "LEIA" "Yes. You're a great help to us. You're a natural leader..."
"36" "HAN" "No! That's not it. Come on. Aahhh -- uh huh! Come on."
"37" "LEIA" "You're imagining things."
"38" "HAN" "Am I? Then why are you following me? Afraid I was going to leave  without giving you a goodbye kiss?"
"39" "LEIA" "I'd just as soon kiss a Wookiee."
"40" "HAN" "I can arrange that. You could use a good kiss!"
"41" "THREEPIO" "Don't try to blame me. I didn't ask you to turn on the  thermal heater. I merely commented that it was freezing in the princess's chamber. But it's supposed to be freezing. How are we going to dry out all her clothes? I really don't know."
"42" "THREEPIO" "Oh, switch off."
"43" "HAN" "Why do you take this apart now? I'm trying to get us  out of here and you pull both of these."
"44" "THREEPIO" "Excuse me, sir."
"45" "HAN" "Put them back together right now."
"46" "THREEPIO" "Might I have a word with you, please?"
"47" "HAN" "What do you want?"
"48" "THREEPIO" "Well, it's Princess Leia, sir. She's been trying to get you  on the communicator."
"49" "HAN" "I turned it off. I don't want to talk to her."
"50" "THREEPIO" "Oh. Well, Princess Leia is wondering about Master Luke. He  hasn't come back yet. She doesn't know where he is."
"51" "HAN" "I don't know where he is."
"52" "THREEPIO" "Nobody knows where he is."
"53" "HAN" "What do you mean, \"nobody knows\"?"
"54" "THREEPIO" "Well, uh, you see..."
"55" "HAN" "Deck Officer. Deck Officer!"
"56" "THREEPIO" "Excuse me, sir. Might I inqu-..."
"57" "DECK OFFICER" "Yes, sir?"
"58" "HAN" "Do you know where Commander Skywalker is?"
"59" "DECK OFFICER" "I haven't seen him. It's possible he came in through the  south entrance."
"60" "HAN" "It's possible? Why don't you go find out? It's getting dark out  there."
"61" "DECK OFFICER" "Yes, sir."
"62" "THREEPIO" "Excuse me, sir. Might I inquire what's going on?"
"63" "HAN" "Why not?"
"64" "THREEPIO" "Impossible man. Come along, Artoo, lets find Princess Leia.  Between ourselves, I think Master Luke is in considerable danger."
"65" "DECK OFFICER" "Sir, Commander Skywalker hasn't come in through the  south entrance. He might have forgotten to check in."
"66" "HAN" "Not likely. Are the speeders ready?"
"67" "DECK OFFICER" "Not yet. We're having some trouble adapting them to the  cold."
"68" "HAN" "Then we'll have to go out on Tauntauns."
"69" "DECK OFFICER" "Sir, the temperature's dropping too rapidly."
"70" "HAN" "That's right. And my friends out in it."
"71" "ASSISTANT OFFICER" "I'll cover sector twelve. Have com-control set  screen alpha."
"72" "DECK OFFICER" "Your Tauntaun'll freeze before you reach the first  marker."
"73" "HAN" "Then I'll see you in hell!"
"74" "THREEPIO" "You must come along now, Artoo. There's really nothing more  we can do. And my joints are freezing up."
"75" "THREEPIO" "Don't say thing like that! Of course we'll see Master Luke  again. He'll be quite all right, you'll see.  Stupid little short-circuit. He'll be quite all right."
"76" "LIEUTENANT" "Sir, all the patrols are in. There's still no contact from  Skywalker or Solo."
"77" "THREEPIO" "Mistress Leia, Artoo says he's been quite unable to pick up  any signals, although he does admit that his own range is far too weak to abandon all hope."
"78" "DERLIN" "Your Highness, there's nothing more we can do tonight. The  shield doors must be closed."
"79" "DERLIN" "Close the doors."
"80" "LIEUTENANT" "Yes, sir."
"81" "THREEPIO" "Artoo says the chances of survival are seven hundred  seventy-five...to one."
"82" "THREEPIO" "Actually, Artoo has been known to make mistakes...from time  to time. Oh, dear, oh, dear. Don't worry about Master Luke. I'm sure he'll be all right. He's quite clever, you know...for a human being."
"83" "BEN" "Luke...Luke."
"84" "LUKE" "Ben?"
"85" "BEN" "You will go to the Dagobah system."
"86" "LUKE" "Dagobah system?"
"87" "BEN" "There you will learn from Yoda, the Jedi Master who instructed  me."
"88" "LUKE" "Ben...Ben."
"89" "HAN" "Luke! Luke! Don't do this, Luke. Come on, give me a sign here."
"90" "HAN" "Not much time."
"91" "LUKE" "Ben...Ben..."
"92" "HAN" "Hang on, kid."
"93" "LUKE" "Dagobah system..."
"94" "HAN" "Whew..."
"95" "LUKE" "Dagobah..."
"96" "HAN" "This may smell bad, kid..."
"97" "LUKE" "Yoda..."
