NAME                                VERSION                TYPE                    
@isaacs/cliui                       8.0.2                  npm                      
@isaacs/string-locale-compare       1.1.0                  npm                      
@npmcli/agent                       2.2.2                  npm                      
@npmcli/arborist                    7.5.4                  npm                      
@npmcli/config                      8.3.4                  npm                      
@npmcli/fs                          3.1.1                  npm                      
@npmcli/git                         5.0.8                  npm                      
@npmcli/installed-package-contents  2.1.0                  npm                      
@npmcli/map-workspaces              3.0.6                  npm                      
@npmcli/metavuln-calculator         7.1.1                  npm                      
@npmcli/name-from-folder            2.0.0                  npm                      
@npmcli/node-gyp                    3.0.0                  npm                      
@npmcli/package-json                5.2.0                  npm                      
@npmcli/promise-spawn               7.0.2                  npm                      
@npmcli/query                       3.1.0                  npm                      
@npmcli/redact                      2.0.1                  npm                      
@npmcli/run-script                  8.1.0                  npm                      
@pkgjs/parseargs                    0.11.0                 npm                      
@sigstore/bundle                    2.3.2                  npm                      
@sigstore/core                      1.1.0                  npm                      
@sigstore/protobuf-specs            0.3.2                  npm                      
@sigstore/sign                      2.3.2                  npm                      
@sigstore/tuf                       2.3.4                  npm                      
@sigstore/verify                    1.2.1                  npm                      
@tufjs/canonical-json               2.0.0                  npm                      
@tufjs/models                       2.0.1                  npm                      
abbrev                              2.0.0                  npm                      
accepts                             1.3.8                  npm                      
agent-base                          7.1.1                  npm                      
aggregate-error                     3.1.0                  npm                      
alpine-baselayout                   3.6.5-r0               apk                      
alpine-baselayout-data              3.6.5-r0               apk                      
alpine-keys                         2.4-r1                 apk                      
ansi-regex                          5.0.1                  npm                      
ansi-regex                          6.0.1                  npm     (+1 duplicate)   
ansi-styles                         4.3.0                  npm                      
ansi-styles                         6.2.1                  npm                      
apk-tools                           2.14.4-r0              apk                      
aproba                              2.0.0                  npm                      
archy                               1.0.0                  npm                      
array-flatten                       1.1.1                  npm                      
balanced-match                      1.0.2                  npm                      
bin-links                           4.0.4                  npm                      
binary-extensions                   2.3.0                  npm                      
body-parser                         1.20.2                 npm                      
brace-expansion                     2.0.1                  npm                      
busybox                             1.36.1-r29             apk                      
busybox-binsh                       1.36.1-r29             apk                      
bytes                               3.1.2                  npm                      
ca-certificates-bundle              20240705-r0            apk                      
cacache                             18.0.3                 npm                      
call-bind                           1.0.7                  npm                      
chalk                               5.3.0                  npm                      
chownr                              2.0.0                  npm                      
ci-info                             4.0.0                  npm                      
cidr-regex                          4.1.1                  npm                      
clean-stack                         2.2.0                  npm                      
cli-columns                         4.0.0                  npm                      
cmd-shim                            6.0.3                  npm                      
color-convert                       2.0.1                  npm                      
color-name                          1.1.4                  npm                      
common-ancestor-path                1.0.1                  npm                      
content-disposition                 0.5.4                  npm                      
content-type                        1.0.5                  npm                      
cookie                              0.4.0                  npm                      
cookie                              0.4.1                  npm                      
cookie                              0.6.0                  npm                      
cookie-parser                       1.4.6                  npm                      
cookie-signature                    1.0.6                  npm                      
corepack                            0.29.3                 npm                      
cors                                2.8.5                  npm                      
cross-spawn                         7.0.3                  npm                      
csrf                                3.1.0                  npm                      
cssesc                              3.0.0                  npm                      
csurf                               1.11.0                 npm                      
debug                               2.6.9                  npm                      
debug                               4.3.5                  npm                      
define-data-property                1.1.4                  npm                      
depd                                1.1.2                  npm                      
depd                                2.0.0                  npm                      
destroy                             1.2.0                  npm                      
diff                                5.2.0                  npm                      
eastasianwidth                      0.2.0                  npm                      
ee-first                            1.1.1                  npm                      
emoji-regex                         8.0.0                  npm                      
emoji-regex                         9.2.2                  npm     (+1 duplicate)   
encodeurl                           1.0.2                  npm                      
encoding                            0.1.13                 npm                      
env-paths                           2.2.1                  npm                      
err-code                            2.0.3                  npm                      
es-define-property                  1.0.0                  npm                      
es-errors                           1.3.0                  npm                      
escape-html                         1.0.3                  npm                      
etag                                1.8.1                  npm                      
exponential-backoff                 3.1.1                  npm                      
express                             4.19.2                 npm                      
express-rate-limit                  7.4.0                  npm                      
fastest-levenshtein                 1.0.16                 npm                      
finalhandler                        1.2.0                  npm                      
foreground-child                    3.2.1                  npm                      
forwarded                           0.2.0                  npm                      
fresh                               0.5.2                  npm                      
fs-minipass                         2.1.0                  npm                      
fs-minipass                         3.0.3                  npm                      
function-bind                       1.1.2                  npm                      
get-intrinsic                       1.2.4                  npm                      
glob                                10.4.2                 npm                      
gopd                                1.0.1                  npm                      
gotreasa-berlin-clock               1.0.0                  npm                      
graceful-fs                         4.2.11                 npm                      
has-property-descriptors            1.0.2                  npm                      
has-proto                           1.0.3                  npm                      
has-symbols                         1.0.3                  npm                      
hasown                              2.0.2                  npm                      
helmet                              7.1.0                  npm                      
hosted-git-info                     7.0.2                  npm                      
http-cache-semantics                4.1.1                  npm                      
http-errors                         1.7.3                  npm                      
http-errors                         2.0.0                  npm                      
http-proxy-agent                    7.0.2                  npm                      
https-proxy-agent                   7.0.5                  npm                      
iconv-lite                          0.4.24                 npm                      
iconv-lite                          0.6.3                  npm                      
ignore-walk                         6.0.5                  npm                      
imurmurhash                         0.1.4                  npm                      
indent-string                       4.0.0                  npm                      
inherits                            2.0.4                  npm                      
ini                                 4.1.3                  npm                      
init-package-json                   6.0.3                  npm                      
ip-address                          9.0.5                  npm                      
ip-regex                            5.0.0                  npm                      
ipaddr.js                           1.9.1                  npm                      
is-cidr                             5.1.0                  npm                      
is-fullwidth-code-point             3.0.0                  npm                      
is-lambda                           1.0.1                  npm                      
isexe                               2.0.0                  npm                      
isexe                               3.1.1                  npm                      
jackspeak                           3.4.0                  npm                      
jsbn                                1.1.0                  npm                      
json-parse-even-better-errors       3.0.2                  npm                      
json-stringify-nice                 1.1.4                  npm                      
jsonparse                           1.3.1                  npm                      
just-diff                           6.0.2                  npm                      
just-diff-apply                     5.5.0                  npm                      
libcrypto3                          3.3.1-r3               apk                      
libgcc                              13.2.1_git20240309-r0  apk                      
libnpmaccess                        8.0.6                  npm                      
libnpmdiff                          6.1.4                  npm                      
libnpmexec                          8.1.3                  npm                      
libnpmfund                          5.0.12                 npm                      
libnpmhook                          10.0.5                 npm                      
libnpmorg                           6.0.6                  npm                      
libnpmpack                          7.0.4                  npm                      
libnpmpublish                       9.0.9                  npm                      
libnpmsearch                        7.0.6                  npm                      
libnpmteam                          6.0.5                  npm                      
libnpmversion                       6.0.3                  npm                      
libssl3                             3.3.1-r3               apk                      
libstdc++                           13.2.1_git20240309-r0  apk                      
lru-cache                           10.2.2                 npm                      
make-fetch-happen                   13.0.1                 npm                      
